"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2024-047263","特願2022-152787","2022/09/26","2024/04/05","無人搬送車両、磁気軌道構造及び無人搬送車両の制御方法","株式会社アイシン","G05D1/02@W,G05D1/02@A,G05D1/223,G05D1/225,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/244,G05D1/43,G05D1/60,G05D1/644,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30","特開2024-047263","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-047263/11/ja"
"特開2024-038773","特願2022-143041","2022/09/08","2024/03/21","無人搬送車","オークラ輸送機株式会社","B61B13/00@S,B61B13/00@A,B61D47/00@A","特開2024-038773","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-038773/11/ja"
"特許7448894","特願2022-212694","2022/12/28","2024/03/13","無人搬送車両システム、及び無人搬送車両","京セラドキュメントソリューションズ株式会社","B65G1/00,501@C","","","特許7448894","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7448894/15/ja"
"特開2024-026960","特願2022-129553","2022/08/16","2024/02/29","無人搬送車","村田機械株式会社","B65G1/00,501@C","特開2024-026960","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-026960/11/ja"
"特許7427144","特願2023-565883","2023/08/01","2024/02/02","無人搬送車走行システム","フィブイントラロジスティクス株式会社","G05D1/02@H,G01S17/931,G01S13/74,G01S17/86","","","特許7427144","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7427144/15/ja"
"特開2024-004660","特願2022-104379","2022/06/29","2024/01/17","無人搬送車両","株式会社豊田自動織機","B66F9/24@M,B66F9/24@E","特開2024-004660","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-004660/11/ja"
"特開2024-000974","特願2023-094059","2023/06/07","2024/01/09","無人搬送車両","ザウラー　テクノロジーズ　ゲー・エム・ベー・ハー　ウント　コー．　カー・ゲー","D01H9/18@G,B61B13/00@A","特開2024-000974","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-000974/11/ja"
"特開2023-167259","特願2022-078304","2022/05/11","2023/11/24","無人搬送車","トヨタ自動車株式会社","B61B13/00@A,B66F9/06@Y,B61D47/00@A","特開2023-167259","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-167259/11/ja"
"特開2023-165496","特願2022-076571","2022/05/06","2023/11/16","無人搬送車","株式会社豊田自動織機","G05D1/02@A,G05D1/229,G05D1/244,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10","特開2023-165496","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-165496/11/ja"
"特開2023-160094","特願2022-070172","2022/04/21","2023/11/02","無人搬送車用制御装置、及び無人搬送車","株式会社豊田自動織機","G05B9/03,G05D1/02@Z,G05B9/02@E,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/80,G05D1/82,G05D1/86,G05D111:00,G05D111:63","特開2023-160094","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-160094/11/ja"
"特開2023-156086","特願2022-065736","2022/04/12","2023/10/24","無人搬送車の充放電制御装置、無人搬送車および無人搬送システム","ＴＤＫ株式会社","H02J7/00,301@D,H02J7/00,302@C,H02J7/00@P,H02J7/00@Y,H02J7/00,301@C,H02J50/10,H01M10/44@P,H01M10/48@P","特開2023-156086","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-156086/11/ja"
"特開2023-141951","特願2022-048555","2022/03/24","2023/10/05","無人搬送車制御システム","株式会社豊田自動織機","G05D1/02@J,B65G1/00,501@C,B65G1/00,521@A,G05D1/24,G05D1/242,G05D1/243,G05D1/246,G05D1/248,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2023-141951","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-141951/11/ja"
"特許7349110","特願2022-188671","2022/11/25","2023/09/22","無人搬送車","株式会社ケンコントロールズ,株式会社匠,株式会社石井工作研究所","B61B13/00@A,B62D63/02,B62D57/02@P,B60B19/00@D,B62D61/10","","","特許7349110","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7349110/15/ja"
"特開2023-126713","特願2023-110046","2023/07/04","2023/09/08","搬送システム、及び無人搬送車","株式会社ＬｅｘｘＰｌｕｓｓ","B60D1/28,B61B13/00@A","特開2023-126713","","特許7464321","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-126713/11/ja"
"特開2023-125672","特願2022-029905","2022/02/28","2023/09/07","無人搬送車及び無人搬送車システム","村田機械株式会社","B65G1/00,501@C","特開2023-125672","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-125672/11/ja"
"特開2023-125625","特願2022-029836","2022/02/28","2023/09/07","牽引装置および無人搬送車","オークラ輸送機株式会社","B61G1/32,B61B13/00@A,B60D1/02@A,B61G1/10","特開2023-125625","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-125625/11/ja"
"特開2023-118348","特願2022-021259","2022/02/15","2023/08/25","無人搬送車","株式会社豊田自動織機","G06K7/10,244,G05D1/02@A,G05D1/244,G05D1/43,G05D1/60,G05D1/648,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:70,G05D109:00,G05D109:10","特開2023-118348","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-118348/11/ja"
"特開2023-113147","特願2022-015281","2022/02/03","2023/08/16","無人搬送車","日本車輌製造株式会社","B61B13/00@A,B65G1/00,501@C","特開2023-113147","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-113147/11/ja"
"特許7313099","特願2022-580844","2022/05/16","2023/07/24","搬送システム、及び無人搬送車","株式会社ＬｅｘｘＰｌｕｓｓ","B60D1/28,B61B13/00@A,B61B13/00@S","WO2023/079777","","特許7313099","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7313099/15/ja"
"特開2023-075600","特願2021-188599","2021/11/19","2023/05/31","搬送システム、無人搬送車、及び無人搬送車の制御方法","村田機械株式会社","G05D1/02@H,G05D1/222,G05D1/223,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63","特開2023-075600","","特許7468494","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-075600/11/ja"
"特許7266085","特願2021-207785","2021/12/22","2023/04/27","リフター装置およびこれを備える無人搬送車","愛知機械テクノシステム株式会社","B66F5/00,B61B13/00@A,B61D47/00@A,B66F3/44,B66F3/08@A","特開2023-092642","","特許7266085","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7266085/15/ja"
"特開2023-059374","特願2021-169340","2021/10/15","2023/04/27","無人搬送車の駆動ユニットおよびこれを備える無人搬送車","愛知機械テクノシステム株式会社","B61B10/04@K,B61B13/00@A","特開2023-059374","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-059374/11/ja"
"特開2023-055228","特願2021-164379","2021/10/06","2023/04/18","無人搬送車両制御システムおよび無人搬送車両制御方法","株式会社日立製作所","G05D1/02@L,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/246,G05D1/43,G05D1/60,G05D1/622,G05D1/633,G05D1/639,G05D1/648,G05D1/693,G05D105:00,G05D105:20,G05D107:00,G05D107:17,G05D107:20,G05D107:40,G05D107:70,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63","特開2023-055228","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-055228/11/ja"
"特開2023-053451","特願2021-162491","2021/10/01","2023/04/13","無人搬送車","株式会社豊田自動織機","B65G1/00,501@C,B66F9/24@A","特開2023-053451","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-053451/11/ja"
"特開2023-008386","特願2021-111912","2021/07/06","2023/01/19","無人搬送車管理システム、及び、無人搬送車の制御方法","トヨタ自動車株式会社","G05D1/02@P,G05D1/222,G05D1/224,G05D1/226,G05D1/229,G05D1/43,G05D1/60,G05D1/656,G05D1/69,G05D1/698,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:30","特開2023-008386","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-008386/11/ja"
"特開2022-189297","特願2021-097805","2021/06/11","2022/12/22","無人搬送車","株式会社明電舎","B61B13/00@A","特開2022-189297","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-189297/11/ja"
"特開2022-187099","特願2021-094922","2021/06/07","2022/12/19","無人搬送車の制御装置","株式会社明電舎","G05D1/02@Y,B61B13/00@A,G05D3/00@Z,G05B11/36@G,G05D1/43,G05D1/60,G05D1/644,G05D1/667,G05D105:00,G05D105:20,G05D109:00","特開2022-187099","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-187099/11/ja"
"特開2022-184703","特願2022-008387","2022/01/24","2022/12/13","牽引装置およびこれを備える無人搬送車","愛知機械テクノシステム株式会社","B61G1/34,B61B13/00@A,B60D1/02@A","特開2022-184703","","特許7247384","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-184703/11/ja"
"特開2022-184293","特願2021-092059","2021/06/01","2022/12/13","牽引装置およびこれを備える無人搬送車","愛知機械テクノシステム株式会社","B61D47/00@A,F16H25/12@A,B60D1/02@A,B61B13/00@A","特開2022-184293","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-184293/11/ja"
"特開2022-183158","特願2022-148025","2022/09/16","2022/12/08","無人搬送車および無人搬送車の制御方法","株式会社東芝","B60R19/48@C,B60R19/38@D,B62B3/00@B,B62B5/00@H,G05D1/02@R,B66F9/24@A,G05D1/24,G05D1/241,G05D1/242,G05D1/43,G05D1/60,G05D1/617,G05D1/622,G05D1/628,G05D1/633,G05D1/639,G05D1/644,G05D105:00,G05D105:20,G05D107:00,G05D107:17,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2022-183158","","特許7350958","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-183158/11/ja"
"特開2022-182170","特願2021-089559","2021/05/27","2022/12/08","無人搬送車の駆動ユニット","日本電産株式会社,尼得科台湾股▲ふん▼有限公司","B60K17/30@Z,B62D9/00,B60L15/20@S","特開2022-182170","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-182170/11/ja"
"特開2022-178398","特願2021-085171","2021/05/20","2022/12/02","無人搬送車の制御装置","株式会社明電舎","G05D1/02@X,G05B11/36@G,G05D1/24,G05D1/241,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00","特開2022-178398","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-178398/11/ja"
"特開2022-176713","特願2021-083270","2021/05/17","2022/11/30","無人搬送車の走行制御装置","株式会社豊田自動織機","B60L15/20@S,G05D1/02@Y,B65G1/00,501@C,G05D1/43,G05D1/60,G05D1/644,G05D1/667,G05D1/80,G05D1/86,G05D105:00,G05D105:20,G05D109:00","特開2022-176713","","","","","審査中","手続補正","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-176713/11/ja"
"特表2024-518321","特願2023-565514","2021/04/26","2022/11/03","無人搬送車、システム、ＡＧＶによる積載物の搬送方法、システムによる積載物の搬送方法","シェフラー　テクノロジーズ　アー・ゲー　ウント　コー．　カー・ゲー","B62D57/032@Z","特表2024-518321","","","","","","","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-518321/11/ja"
"特開2022-163855","特願2021-068946","2021/04/15","2022/10/27","分岐エリア出入判別システム、無人搬送車及び分岐エリア出入判別方法","東日本旅客鉄道株式会社","G05D1/02@A,G05D1/24,G05D1/242,G05D1/244,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00","特開2022-163855","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-163855/11/ja"
"特表2024-512863","特願2023-543012","2022/04/01","2022/10/20","無人搬送車両","ベイジン・ジンドン・チアンシ・テクノロジー・カンパニー・リミテッド","B61B13/00@A,B61D47/00@A","特表2024-512863","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-512863/11/ja"
"特許7151925","特願2022-075289","2022/04/28","2022/10/12","無人搬送車の制御方法、制御装置、及びコンピュータプログラム","株式会社椿本チエイン","G05D1/02@R,B60D1/00@Z,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/617,G05D1/656,G05D1/678,G05D1/69,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2023-164008","","特許7151925","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7151925/15/ja"
"特開2022-146514","特願2021-047512","2021/03/22","2022/10/05","無人搬送車、無人搬送システム及び搬送プログラム","株式会社東芝","G05D1/02@H,B60P3/00@Z,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/644,G05D1/656,G05D1/661,G05D1/69,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2022-146514","","","","","審査中","手続補正","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-146514/11/ja"
"特開2022-144549","特願2021-045603","2021/03/19","2022/10/03","無人搬送車の制御システム及び制御方法","株式会社明電舎","G05D1/02@W,G05D1/02@Y,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/622,G05D1/639,G05D1/644,G05D1/667,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2022-144549","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-144549/11/ja"
"特開2022-131614","特願2021-030639","2021/02/26","2022/09/07","無人搬送車用のフリーアクセスフロアシステム","トーヨーカネツ株式会社","G05D1/02@H,G05D1/24,G05D1/242,G05D1/248,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2022-131614","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-131614/11/ja"
"特開2022-125553","特願2021-023198","2021/02/17","2022/08/29","無人搬送車ルート案内システム、無人搬送車ルート案内方法","シンフォニアテクノロジー株式会社","G05D1/02@J,G08G1/00@X,G01C21/34,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/245,G05D1/246,G05D1/248,G05D1/43,G05D1/60,G05D1/622,G05D1/644,G05D1/646,G05D1/80,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:50,G05D111:63","特開2022-125553","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-125553/11/ja"
"特開2022-122388","特願2021-019579","2021/02/10","2022/08/23","無人搬送車","ヤマハ発動機株式会社","G05D1/02@D,G05D1/24,G05D1/242,G05D1/244,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:10,G05D111:63","特開2022-122388","","特許7344237","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-122388/11/ja"
"特表2024-503754","特願2023-545237","2022/01/25","2022/08/04","差動駆動装置及び無人搬送車","杭州海康机器人股▲ふん▼有限公司","B61B13/00@A","特表2024-503754","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-503754/11/ja"
"特表2024-504361","特願2023-544231","2022/01/17","2022/07/28","無人搬送車","杭州海康机器人股▲ふん▼有限公司","B65G1/00,501@C,B65G67/02,B65G1/137@G","特表2024-504361","","","","","審査中","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-504361/11/ja"
"特開2022-109803","特願2021-005341","2021/01/15","2022/07/28","無人搬送車","株式会社豊田自動織機","G05D1/02@B,G05D1/229,G05D1/24,G05D1/242,G05D1/244,G05D1/245,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00","特開2022-109803","","","","","審査中","手続補正","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-109803/11/ja"
"特開2022-093887","特願2020-206609","2020/12/14","2022/06/24","無人搬送車および無人搬送車システム","シーオス株式会社","G05D1/02@K,G05D1/224,G05D1/225,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/246,G05D1/43,G05D1/60,G05D1/622,G05D1/633,G05D1/639,G05D1/644,G05D1/648,G05D1/693,G05D105:00,G05D105:20,G05D107:00,G05D107:17,G05D107:20,G05D107:70,G05D109:00,G05D109:10,G05D109:12,G05D111:00,G05D111:30,G05D111:63","特開2022-093887","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-093887/11/ja"
"特開2022-090749","特願2020-203236","2020/12/08","2022/06/20","無人搬送車","花王株式会社","B25J5/00@Z","特開2022-090749","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-090749/11/ja"
"特開2022-079303","特願2020-190414","2020/11/16","2022/05/26","無人搬送車用制御装置","株式会社豊田自動織機","G05D1/02@G,G05D1/222,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/248,G05D1/43,G05D1/60,G05D1/644,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:30","特開2022-079303","","特許7338612","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-079303/11/ja"
"特開2022-079302","特願2020-190413","2020/11/16","2022/05/26","無人搬送車用制御装置","株式会社豊田自動織機","G05D1/02@G,G05D1/222,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/248,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:30","特開2022-079302","","特許7338611","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-079302/11/ja"
"特開2022-078539","特願2020-189279","2020/11/13","2022/05/25","無人搬送車および無人搬送方法","三菱ロジスネクスト株式会社","B66F9/12@H,B66F9/24@A,B66F9/12@C","特開2022-078539","","特許7078342","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-078539/11/ja"
"実登3237354","実願2022-000195","2022/01/25","2022/05/10","無人搬送車","信錦企業股▲フン▼有限公司","B61B13/00@A,G05D1/02@Y,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/622,G05D1/644,G05D1/656,G05D1/667,G05D1/678,G05D1/69,G05D105:00,G05D105:20,G05D109:00,G05D111:00,G05D111:63","","","実登3237354","","","","","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-3237354/25/ja"
"特開2022-059320","特願2020-166981","2020/10/01","2022/04/13","無人搬送車","株式会社デンソー","B62D7/18@A,B61B13/00@A,B62D7/15@D,B62D6/00,B62D7/14@B,B62D101:00,B62D113:00","特開2022-059320","","特許7405053","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-059320/11/ja"
"特開2022-059318","特願2020-166979","2020/10/01","2022/04/13","無人搬送車","株式会社デンソー","G05D1/02@W,G05D1/02@H,G05D1/222,G05D1/223,G05D1/225,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/622,G05D1/639,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:60,G05D111:63","特開2022-059318","","特許7476751","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-059318/11/ja"
"特開2022-059317","特願2020-166978","2020/10/01","2022/04/13","無人搬送車制御装置","株式会社デンソー","G05D1/02@Z,G05D1/222,G05D1/223,G05D1/225,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/622,G05D1/639,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:60,G05D111:63","特開2022-059317","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-059317/11/ja"
"特開2022-052898","特願2020-159412","2020/09/24","2022/04/05","無人搬送車","中央工機株式会社,矢島技研株式会社","G05D1/02@Q,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/611,G05D1/672,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2022-052898","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-052898/11/ja"
"特表2023-543390","特願2023-514093","2021/03/11","2022/03/31","ボールスプライン装置、無人搬送車及び立体倉庫システム","ベイジン・ジンドン・チアンシ・テクノロジー・カンパニー・リミテッド","F16C29/06,F16C19/16,F16C33/78@Z,B61B13/00@A","特表2023-543390","","","","","審査中","審査請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-543390/11/ja"
"特開2022-040922","特願2020-145868","2020/08/31","2022/03/11","無人搬送車制御システム、搬送システム、無人搬送車、及び作業内容決定方法","三菱ロジスネクスト株式会社","B65G1/137@A,G05D1/02@H,G05D1/02@Y,G05D1/223,G05D1/225,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/648,G05D1/667,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:70,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63","特開2022-040922","","特許7186752","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-040922/11/ja"
"特開2022-038203","特願2020-142574","2020/08/26","2022/03/10","制御装置、制御方法、及び無人搬送車","株式会社東芝,東芝インフラシステムズ株式会社","G05D1/02@J,G05D1/24,G05D1/242,G05D1/243,G05D1/245,G05D1/43,G05D1/60,G05D1/656,G05D1/69,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:50,G05D111:63","特開2022-038203","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-038203/11/ja"
"特開2022-032883","特願2020-146315","2020/08/13","2022/02/25","安全で高効率な無人搬送車交差点制御システム","株式会社インテリジェントネットワーク研究所","G08G1/16@A,G08G1/09@F","特開2022-032883","","","","","審査中","期間延長の請求","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-032883/11/ja"
"特開2022-028432","特願2020-131823","2020/08/03","2022/02/16","無人搬送車","日本車輌製造株式会社","G05D1/02@W,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/622,G05D1/639,G05D1/644,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:50,G05D111:60,G05D111:63,G05D111:67","特開2022-028432","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-028432/11/ja"
"特開2022-028342","特願2020-131682","2020/08/03","2022/02/16","無人搬送車システム","中西金属工業株式会社","G05D1/02@J,B65G67/02,G05D1/225,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/246,G05D1/43,G05D1/60,G05D1/644,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63,G05D1/244","特開2022-028342","","","","","審査中","特許査定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-028342/11/ja"
"特開2022-026601","特願2020-130154","2020/07/31","2022/02/10","無人搬送車誘導システム","株式会社ＪＶＣケンウッド","G05D1/02@P,G05D1/02@J,G05D1/222,G05D1/224,G05D1/225,G05D1/226,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/246,G05D1/249,G05D1/43,G05D1/60,G05D1/622,G05D1/628,G05D1/639,G05D1/69,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63","特開2022-026601","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-026601/11/ja"
"特開2022-025970","特願2020-129202","2020/07/30","2022/02/10","印刷機用の無人搬送車の制御システム","リョービＭＨＩグラフィックテクノロジー株式会社","G05D1/02@P,G05B19/418@Z,G05D1/43,G05D1/698,G05D105:20,G05D109:10,G05D1/225,B65H7/20","特開2022-025970","","特許7461824","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-025970/11/ja"
"特開2022-025756","特願2020-128816","2020/07/30","2022/02/10","無人搬送車の昇降・傾斜制御装置","株式会社明電舎","B61B13/00@A,B61D47/00@A,G05D1/02@Y,G05D3/12@S,G05D1/43,G05D1/46,G05D1/60,G05D1/667,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,B66F9/24@G,G05D1/656,G05D105:28","特開2022-025756","","特許7459710","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-025756/11/ja"
"特開2022-010608","特願2020-111275","2020/06/29","2022/01/17","無人搬送車","ＴＤＫ株式会社","B60W10/08,B60G3/16","特開2022-010608","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-010608/11/ja"
"特開2021-195199","特願2020-101404","2020/06/11","2021/12/27","無人搬送車","株式会社明電舎","B66F9/06@Z,B61D47/00@A,B61B13/00@A,B66F3/06","特開2021-195199","","特許7424217","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2021-195199/11/ja"
