"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2001-175331","特願平11-356014","1999/12/15","2001/06/29","無人搬送車","ＴＨＫリズム株式会社","B61B13/00@A,B62D1/28,B62D6/00,B62D11/04@A,G05D1/02@E,G05D1/02@W,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/244,G05D1/43,G05D1/60,G05D1/622,G05D1/644,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:10,G05D111:63","特開2001-175331","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-175331/11/ja"
"特開2001-168165","特願平11-345701","1999/12/06","2001/06/22","無人搬送車","村田機械株式会社","B62B5/00@E,B65G1/00,501@C,B65G1/00,521@D,F24F7/06@C,G05D1/02@Y,H01L21/68@A,G05D1/43,G05D1/60,G05D1/656,G05D1/667,G05D1/69,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10","特開2001-168165","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-168165/11/ja"
"特開2001-166828","特願平11-348202","1999/12/07","2001/06/22","無人搬送車の走行制御装置","日本信号株式会社,シンフォニアテクノロジー株式会社","G01S7/40@B,G01S7/497,G01S15/93,G01S17/88@A,G01S17/93,G05D1/02@R,G05D1/02@S,G01S7/40,121,G01S7/40,160,G01S15/931,G01S17/04,G01S17/931,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/622,G05D1/633,G05D1/80,G05D1/85,G05D1/86,G05D107:00,G05D107:17,G05D107:20,G05D111:00,G05D111:63","特開2001-166828","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-166828/11/ja"
"特開2001-163447","特願平11-351205","1999/12/10","2001/06/19","移載装置とこれを用いた無人搬送車","村田機械株式会社","B25J17/02@Z,B65G35/00@B,B65G61/00","特開2001-163447","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-163447/11/ja"
"特開2001-163218","特願平11-345700","1999/12/06","2001/06/19","無人搬送車","村田機械株式会社","B61B13/00@A,B61D27/00@S,H01L21/68@A","特開2001-163218","","","","","（出願の）却下・拒絶","出願のみなし取下げ","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-163218/11/ja"
"特開2001-159917","特願平11-343986","1999/12/03","2001/06/12","無人搬送車","ユニキャリア株式会社","G05D1/02@B,G05D1/02@R,G05D1/244,G05D1/43,G05D1/60,G05D1/617,G05D1/646,G05D1/80,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10","特開2001-159917","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-159917/11/ja"
"特開2001-153420","特願平11-331132","1999/11/22","2001/06/08","クリーンルーム用無人搬送車","株式会社明電舎","B65G1/00,501@C,F24F9/00@C,H01L21/68@A","特開2001-153420","","特許3861534","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-153420/11/ja"
"特開2001-151115","特願平11-332745","1999/11/24","2001/06/05","無人搬送車","株式会社デンソー","B62B3/00@Z,B62D61/10","特開2001-151115","","特許4174935","","","特許 消滅","年金不納による特許権の消滅","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-151115/11/ja"
"特開2001-142533","特願平11-322740","1999/11/12","2001/05/25","無人搬送車の運行制御システム","ＵＤトラックス株式会社","G05D1/02@P,G05D1/226,G05D1/229,G05D1/43,G05D1/60,G05D1/646,G05D1/69,G05D1/698,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:30","特開2001-142533","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-142533/11/ja"
"特開2001-134318","特願平11-315353","1999/11/05","2001/05/18","無人搬送車システム","村田機械株式会社","B61B13/00@D,B61D27/00@S,B62D1/28,G05D1/02@J,G05D1/02@K,G05D1/228,G05D1/229,G05D1/24,G05D1/243,G05D1/245,G05D1/246,G05D1/248,G05D1/43,G05D1/60,G05D1/646,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00","特開2001-134318","","","","","（出願の）却下・拒絶","出願の拒絶・却下","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2001-134318/11/ja"
